id,split,abbreviation,expected,person1_check,person2_check,notes
1,dev,BP,blood pressure,YES,YES,
2,dev,HR,heart rate,YES,YES,
3,dev,BMI,body mass index,YES,YES,
4,dev,ECG,electrocardiogram,YES,YES,
5,dev,MRI,magnetic resonance imaging,YES,YES,
6,dev,CT,computed tomography,YES,YES,
7,dev,CBC,complete blood count,YES,YES,
8,dev,ICU,intensive care unit,YES,YES,
9,dev,CPR,cardiopulmonary resuscitation,YES,YES,
10,dev,IV,intravenous,YES,YES,
11,test,COPD,chronic obstructive pulmonary disease,YES,YES,
12,test,CHF,congestive heart failure,YES,YES,
13,test,CAD,coronary artery disease,YES,YES,
14,test,CVA,cerebrovascular accident,YES,YES,
15,test,DVT,deep vein thrombosis,YES,YES,
16,test,PE,pulmonary embolism,YES,YES,
17,test,UTI,urinary tract infection,YES,YES,
18,test,GERD,gastroesophageal reflux disease,YES,YES,
19,test,PUD,peptic ulcer disease,YES,YES,
20,test,IBS,irritable bowel syndrome,YES,YES,
21,test,IBD,inflammatory bowel disease,YES,YES,
22,test,SLE,systemic lupus erythematosus,YES,YES,
23,test,RA,rheumatoid arthritis,YES,YES,
24,test,OA,osteoarthritis,YES,YES,
25,test,AKI,acute kidney injury,YES,YES,
26,test,CKD,chronic kidney disease,YES,YES,
27,test,BUN,blood urea nitrogen,YES,YES,
28,test,WBC,white blood cell,YES,YES,
29,test,RBC,red blood cell,YES,YES,
30,test,Hgb,hemoglobin,YES,YES,
31,test,Hct,hematocrit,YES,YES,
32,test,ESR,erythrocyte sedimentation rate,YES,YES,
33,test,CRP,C-reactive protein,YES,YES,
34,test,HbA1c,hemoglobin A1c,YES,YES,
35,test,TSH,thyroid-stimulating hormone,YES,YES,
36,test,T4,thyroxine,YES,YES,
37,test,CXR,chest X-ray,YES,YES,
38,test,EEG,electroencephalogram,YES,YES,
39,test,EMG,electromyography,YES,YES,
40,test,PET,positron emission tomography,YES,YES,
41,test,SOB,shortness of breath,YES,YES,
42,test,NPO,nothing by mouth,YES,YES,
43,test,PRN,as needed,YES,YES,
44,test,STAT,immediately,YES,YES,
45,test,BID,twice daily,YES,YES,
46,test,TID,three times daily,YES,YES,
47,test,QID,four times daily,YES,YES,
48,test,PO,by mouth,YES,YES,
49,test,IM,intramuscular,YES,YES,
50,test,SC,subcutaneous,YES,YES,
51,test,ENT,ear nose and throat,YES,YES,
52,test,OBGYN,obstetrics and gynecology,YES,YES,
53,test,NICU,neonatal intensive care unit,YES,YES,
54,test,PICU,pediatric intensive care unit,YES,YES,
55,test,ED,emergency department,YES,YES,
56,test,OR,operating room,YES,YES,
57,test,PACU,post-anesthesia care unit,YES,YES,
58,test,PPE,personal protective equipment,YES,YES,
59,test,AED,automated external defibrillator,YES,YES,
60,test,DNR,do not resuscitate,YES,YES,
